      1.5739455852146610E-03    5.8804505286535781E-02    9.6043197020748611E-10    8.3121866516336218E+07    6.6509301145418738E-05
      1.5968391509250449E-03    6.1338785942757677E-02    1.0461778201834798E-09    8.3028174099360615E+07    7.2447146547203144E-05
      1.6200657112166008E-03    6.3980230517001246E-02    1.1395423152096190E-09    8.2931923265913188E+07    7.8912578257730185E-05
      1.6436301096070438E-03    6.6733227884227503E-02    1.2411981251493194E-09    8.2833057876885355E+07    8.5952178235852909E-05
      1.6675372600646770E-03    6.9602339951416847E-02    1.3518768790597507E-09    8.2731524575520068E+07    9.3616611326973668E-05
      1.6917921480331182E-03    7.2592308251522866E-02    1.4723742935593065E-09    8.2627272789299250E+07    1.0196098039921932E-04
      1.7163998314709326E-03    7.5708060737290528E-02    1.6035557423259912E-09    8.2520254678014547E+07    1.1104521202765095E-04
      1.7413654419063864E-03    7.8954718786348119E-02    1.7463623049763215E-09    8.2410425045458078E+07    1.2093447537526841E-04
      1.7666941855075436E-03    8.2337604390156610E-02    1.9018173351163750E-09    8.2297741189663008E+07    1.3169963702635480E-04
      1.7923913441679267E-03    8.5862247470568948E-02    2.0710335901128648E-09    8.2182162649158671E+07    1.4341775471857424E-04
      1.8184622766079673E-03    8.9534393341789337E-02    2.2552209699999268E-09    8.2063650887955815E+07    1.5617261325732922E-04
      1.8449124194924822E-03    9.3360010315235206E-02    2.4556949153263152E-09    8.1942168935122803E+07    1.7005530606132086E-04
      1.8717472885643974E-03    9.7345297414539345E-02    2.6738855208722633E-09    8.1817680967723727E+07    1.8516486628162643E-04
      1.8989724797949684E-03    1.0149669220889844E-01    2.9113474200459751E-09    8.1690151865929306E+07    2.0160895128984991E-04
      1.9265936705507262E-03    1.0582087870206351E-01    3.1697705070280979E-09    8.1559546708793014E+07    2.1950458517978555E-04
      1.9546166207773997E-03    1.1032479524051649E-01    3.4509915601047515E-09    8.1425830212154329E+07    2.3897896367581405E-04
      1.9830471742010576E-03    1.1501564253065064E-01    3.7570068449027715E-09    8.1288966203688145E+07    2.6017032689890177E-04
      2.0118912595467218E-03    1.1990088766673355E-01    4.0899856366315678E-09    8.1148914368403733E+07    2.8322889577322177E-04
      2.0411548917747052E-03    1.2498829335387855E-01    4.4522857516939708E-09    8.1005644007541001E+07    3.0831794758029522E-04
      2.0708441733349298E-03    1.3028593468229208E-01    4.8464700317007806E-09    8.0859136521950364E+07    3.3561495746648135E-04
      2.1009652954395055E-03    1.3580219089968154E-01    5.2753233046368632E-09    8.0709371995745301E+07    3.6531277299290792E-04
      2.1315245393537866E-03    1.4154575827927607E-01    5.7418715013321221E-09    8.0556330713346839E+07    3.9762093793888894E-04
      2.1625282777062381E-03    1.4752566326505540E-01    6.2494024033115517E-09    8.0399994304564744E+07    4.3276712907730302E-04
      2.1939829758173416E-03    1.5375127643969794E-01    6.8014881847171253E-09    8.0240346856053293E+07    4.7099871718830124E-04
      2.2258951930478298E-03    1.6023232730873585E-01    7.4020099035053736E-09    8.0077375949551761E+07    5.1258446305911347E-04
      2.2582715841665347E-03    1.6697892030387612E-01    8.0551841317295407E-09    7.9911073793507949E+07    5.5781636161409656E-04
      2.2911189007381290E-03    1.7400155224736871E-01    8.7655919249316748E-09    7.9741438483203292E+07    6.0701164802665303E-04
